numero_run,collimatore131x,collimatore131y,collimatore386x,collimatore386y
20760,-15,15,-8,8
20761,-15,15,-8,8
20762,-15,15,-8,8
20763,-15,15,-8,8
20764,-15,15,-8,8
20765,-15,15,-8,8
20766,-15,15,-8,8
20767,-15,15,-8,8
20768,-15,15,-8,8
20769,-15,15,-8,8
20770,-15,15,-8,8
20771,-15,15,-8,8
20772,-15,15,-8,8
20773,-20,20,-8,8
20774,-20,20,-8,8
20775,-20,20,-8,8
20776,-20,20,-8,8
20777,-20,20,-8,8
20778,-20,20,-8,8
20779,-20,20,-8,8
20780,-20,20,-8,8
20781,-20,20,-8,8
20782,-20,20,-8,8
20783,-20,20,-8,8
20784,-20,20,-8,8
20786,-20,20,-8,8
20787,-20,20,-8,8
20788,-20,20,-8,8
20789,-20,20,-8,8
20790,-20,20,-8,8
20791,-20,20,-8,8
20797,-10,10,-8,8
20798,-20,20,-8,8
20799,-20,20,-8,8
20800,-20,20,-8,8
20801,-20,20,-8,8
20804,-5,5,-2,2
20805,-10,10,-8,8
20806,-10,10,-8,8
20807,-10,10,-8,8
20808,-10,10,-8,8
20810,-15,15,-8,8
20811,-15,15,-8,8
20812,-15,15,-8,8
20813,-15,15,-8,8
20814,-15,15,-8,8
20815,-8,8,-15,15
20816,-8,8,-15,15
20818,-8,8,-15,15
20819,-8,8,-15,15
20820,-8,8,-15,15
20821,-8,8,-15,15
20822,-8,8,-15,15
20824,-8,8,-15,15
20825,-8,8,-15,15
20826,-8,8,-15,15
20827,-8,8,-15,15
20828,-8,8,-8,8
20829,-8,8,-8,8
20830,-8,8,-15,15
20831,-8,8,-15,15
20833,-8,8,-8,8
20834,-8,8,-8,8
20835,-8,8,-8,8
20836,-8,8,-8,8
20837,-8,8,-8,8
20838,-8,8,-8,8
20839,-8,8,-8,8
20840,-8,8,-8,8
20841,-8,8,-8,8
20842,-8,8,-8,8
20843,-8,8,-8,8
20844,-10,10,-8,8
20845,-10,10,-8,8
20846,-10,10,-8,8
20847,-10,10,-8,8
20848,-10,10,-8,8
20849,-10,10,-8,8
20850,-8,8,-15,15
20851,-8,8,-15,15
20852,-8,8,-15,15
20853,-8,8,-15,15
20854,-15,15,-8,8
20856,-15,15,-8,8
20857,-15,15,-8,8
20858,-15,15,-8,8
20859,-15,15,-8,8
20860,-15,15,-8,8
20861,-15,15,-8,8
20862,-8,8,-15,15
20863,-8,8,-15,15
20864,-8,8,-15,15
20865,-8,8,-15,15
20867,-8,8,-15,15
20868,-8,8,-15,15
20869,-8,8,-15,15
20870,-8,8,-15,15
20871,-8,8,-15,15
20872,-8,8,-15,15
20873,-8,8,-15,15
20874,-8,8,-15,15
20875,-8,8,-15,15
20876,-8,8,-15,15
20877,-8,8,-15,15
20880,-8,8,-15,15
20881,-8,8,-15,15
20882,-8,8,-15,15
20883,-8,8,-15,15
20884,-8,8,-15,15
20885,-8,8,-15,15
20886,-8,8,-15,15
20887,-8,8,-15,15
20889,-8,8,-15,15
20890,-8,8,-15,15
20891,-8,8,-15,15
20892,-5,5,-5,5
20893,-5,5,-5,5
20894,-5,5,-5,5
20895,-5,5,-5,5
20896,-5,5,-5,5
20897,-5,5,-5,5
20898,-5,5,-5,5
20899,-5,5,-5,5
20900,-10,10,-8,8
20901,-10,10,-8,8
20902,-10,10,-8,8
20903,-10,10,-8,8
20904,-10,10,-8,8
20905,-10,10,-8,8
20906,-10,10,-8,8
20907,-10,10,-8,8
20908,-10,10,-8,8
20909,-10,10,-8,8
20911,-10,10,-8,8
20912,-10,10,-8,8
20913,-10,10,-8,8
20914,-10,10,-8,8
20915,-10,10,-8,8
20916,-10,10,-8,8
20917,-10,10,-8,8
20918,-10,10,-8,8
20919,-10,10,-8,8
20920,-10,10,-8,8
20921,-8,8,-8,8
20922,-8,8,-8,8
20923,-8,8,-8,8
20924,-8,8,-8,8
20925,-15,15,-8,8
20926,-15,15,-8,8
20927,-15,15,-8,8
20928,-15,15,-8,8
20929,-15,15,-8,8
20930,-15,15,-8,8
20931,-15,15,-8,8
20932,-15,15,-8,8
20933,-15,15,-8,8
20934,-15,15,-8,8
20935,-15,15,-8,8
20936,-15,15,-8,8
20937,-20,20,-8,8
20938,-20,20,-8,8
20940,-20,20,-8,8
20941,-20,20,-8,8
20942,-20,20,-8,8
20943,-20,20,-8,8
20944,-20,20,-8,8
20945,-20,20,-8,8
20946,-20,20,-8,8
20947,-20,20,-8,8
20948,-20,20,-8,8
20949,-20,20,-8,8
20950,-20,20,-8,8
20951,-20,20,-8,8
20952,-20,20,-8,8
20953,-20,20,-8,8
20954,-20,20,-8,8
20955,-20,20,-8,8
20956,-15,15,-8,8
20957,-15,15,-8,8
20958,-15,15,-8,8
20959,-15,15,-8,8
20960,-15,15,-8,8
20961,-15,15,-8,8
20963,-15,15,-8,8
20964,-15,15,-8,8
20965,-15,15,-8,8
20966,-15,15,-8,8
20967,-15,15,-8,8
20968,-15,15,-8,8
20969,-15,15,-8,8
20970,-15,15,-8,8
20971,-15,15,-8,8
20972,-15,15,-8,8
20973,-8,8,-8,8
20974,-8,8,-8,8
20975,-8,8,-8,8
20976,-8,8,-8,8
20977,-8,8,-8,8
20978,-15,15,-8,8
20979,-15,15,-8,8
20980,-15,15,-8,8
20981,-15,15,-8,8
20982,-15,15,-8,8
20983,-15,15,-8,8
20984,-15,15,-8,8
20985,-15,15,-8,8
20986,-15,15,-8,8
20987,-15,15,-8,8
20988,-15,15,-8,8
20989,-15,15,-8,8
20990,-15,15,-8,8
20991,-5,5,-5,5
20993,-5,5,-5,5
20994,-5,5,-5,5
20995,-5,5,-5,5
20996,-5,5,-5,5
20997,-5,5,-5,5
20999,-5,5,-5,5
21000,-5,5,-5,5
21001,-5,5,-5,5
21002,-5,5,-5,5
21003,-5,5,-5,5
21004,-5,5,-5,5
21005,-5,5,-5,5
21006,-5,5,-5,5
21007,-5,5,-5,5
21008,-5,5,-5,5
21009,-5,5,-5,5
21010,-5,5,-5,5
21011,-5,5,-5,5
21012,-5,5,-5,5
21013,-5,5,-5,5
21014,-5,5,-5,5
21016,-5,5,-5,5
21017,-5,5,-5,5
21018,-5,5,-5,5
21019,-5,5,-5,5
21020,-5,5,-5,5
21021,-5,5,-5,5
21022,-15,15,-8,8
21023,-15,15,-8,8
21024,-15,15,-8,8
21025,-15,15,-8,8
21026,-5,5,-2,2
21027,-5,5,-2,2
21028,-5,5,-2,2
21029,-5,5,-2,2
21030,-5,5,-2,2
21031,-5,5,-2,2
21032,-5,5,-2,2
